,0
TCHH,0.2539460667786269
AHNAK,0.24772503940714524
APC,0.21811371933650314
CACNA1A,0.15158072596303487
CPEB2,0.1399835036616373
MAGEE1,0.13590540410265026
TP53,0.1273665664497009
KDM6B,0.12547465610353753
KMT2D,0.12051409998615382
TUBGCP6,0.11968991647066021
HLA-A,0.11131405331704727
UBC,0.10668388001681811
HLA-B,0.08852530310533246
MUC1,0.08450357638132765
PABPC1,0.07952021776889494
MTCH2,0.07852096176363618
CACNA1B,0.07536693331651016
NLGN2,0.07366225679080471
SYNE1,0.07085951344796147
RUNX1,0.06712560488368638
HLA-C,0.06654287445465616
TCF7L2,0.06454537588836304
MFHAS1,0.0642149297309445
RXRA,0.06210265860623802
NRXN2,0.06196812388544888
ALMS1,0.06019225290297931
NCOR2,0.0600408696719595
FBXW7,0.05812647353206721
RAPGEFL1,0.055880617790531974
PLEC,0.0555888091941687
PKD1,0.055525468930143665
SVIL,0.05538992076513012
CEL,0.05509013129549969
SPEG,0.05445400502389638
MAP4K1,0.052684024685981136
CACNA1H,0.052317981300180526
RYR1,0.05176597089920244
SFPQ,0.051750072492932175
AGRN,0.051128767843110726
ESRRA,0.04991877877944071
MAST4,0.04990395715765886
SOX9,0.04944290337582072
CAMKK2,0.04837638001016738
GRINA,0.04827744251776029
CES1,0.048251726370566135
HELZ2,0.04713377071052448
MAST2,0.046014801606258426
STAB1,0.0450660277914276
IRS2,0.04500268752740258
ATXN1,0.04498488891321155
CREBBP,0.04472570055282116
AR,0.04469105342839946
EFS,0.04421714157296425
COL6A3,0.04380561987759367
CFTR,0.04358595584195489
EGFR,0.0434771372683599
MADCAM1,0.043171393813911114
KRT15,0.042976495821506124
F5,0.042844938093126145
CELSR1,0.04282416248652594
GNAS,0.04280040988751656
UNC13B,0.04265694418949988
ZBTB10,0.042575805311283826
WIZ,0.042269111752874663
PCLO,0.042233577864756636
WNK4,0.04170221638985071
USH1C,0.041293608346625287
MYO15A,0.040483359689217194
CDC42EP1,0.04016969870176528
COL6A2,0.03977496217636134
DST,0.039529645333792426
SBNO2,0.03944153902653362
ZMIZ1,0.039428680952936536
TRIO,0.03911210631333948
OGFR,0.039048766049314454
PRDM2,0.03892708940212238
ABCA2,0.0388489275163155
NOTCH3,0.038508600277709054
VEGFA,0.03849966930048153
MKI67,0.038498719196521154
RYR2,0.03809809202656288
CROCC,0.037699301724261336
PAX6,0.03768840719884903
IFITM3,0.037602327780039024
COL8A2,0.03751922535363819
GREB1,0.03746285251865593
TNIP1,0.037308492295226946
KCNH2,0.03679898321140966
TNS1,0.036739633384018214
AUTS2,0.03642204530019675
POLR2A,0.036281556594589245
PRKDC,0.03627465250581052
MAPKAPK2,0.036241968929573605
KDM4B,0.03621625278237945
KCNMA1,0.03616976102858509
NOP2,0.036067846543768815
RNF213,0.03591849020119782
KLF2,0.03572156532034402
LRP1,0.03553363475698177
FLT4,0.03551184570615717
CEBPA,0.03549797418833569
INHBB,0.035485116114738605
MARCKS,0.035357485482728185
MAP6,0.03535254494213423
SH2B1,0.03507948506392236
WAS,0.03500132317811548
MXRA5,0.034925188180757405
COL5A1,0.03481535616293801
ACLY,0.034665936480102987
VCAN,0.03428507147252052
SIRPA,0.03398426855866569
MAML2,0.03396646994447466
TCOF1,0.033909083665267986
ACVR2A,0.033880390525664654
COL5A3,0.03378740701807592
NOTCH4,0.033745855804875505
TPSAB1,0.033653822401247147
MMP9,0.032983049005222156
SLC23A2,0.03270207159400715
CASP8AP2,0.03260015710919089
TGFBR2,0.032598193561006114
PLXNB2,0.032328110675203414
CELSR2,0.03229447699500612
PREX1,0.0321460707563955
IL32,0.03213219923857402
NEFH,0.032044156271579236
ADGRA2,0.03181461115475255
TNC,0.03178990845178279
HIPK2,0.03146142584254903
IDUA,0.03139612203033923
NSD2,0.031029065200314218
MYO9B,0.030832203659724448
LTBP2,0.03074910123332362
SPTBN2,0.0307075500201232
PALLD,0.030283106910891523
WDR90,0.030059515778883193
FASN,0.03005457523828924
SPTB,0.030016001017497997
MYH11,0.02985473670529029
DTX2,0.02985372326106589
MAP3K11,0.029754785768658806
KCNQ2,0.029372907316851948
VPS37B,0.02926307529903255
TIAM1,0.02924331313665675
ADAMTS5,0.029219560537647366
MAGI2,0.0290533556848457
SHOX2,0.028969239814220473
AEBP1,0.028964299273626516
VASP,0.02882083357560984
ATAD2,0.028727850068021112
FLNC,0.028700170372642178
SHROOM2,0.028686298854820692
TARP,0.028672427336999214
LATS2,0.028641770649211102
CASP5,0.028542833156804014
ATP4A,0.028537892616210068
BRCA2,0.028507235928421956
COL7A1,0.028494377854824872
MAPK8IP2,0.02847752934459422
LAMA1,0.028463721167036764
RREB1,0.028392463370008614
NOTCH1,0.02832025546902009
CFH,0.028275727263410495
TAF1C,0.028261855745589017
GP1BA,0.02823316260598568
ADRA1B,0.028204469466382342
ADRA2C,0.028084756367375053
ITGB4,0.02804124160598986
COL6A1,0.02794724465417673
DOP1A,0.02788688138256088
CRYBG1,0.02788688138256088
ADAMTS1,0.02780675594856923
PCNT,0.027786993786193426
RPL22,0.027679125316558806
POM121,0.027575247283557765
SNAPC4,0.027554471676957563
PIK3CD,0.027546554143954433
ABCA4,0.027518874448575495
KNL1,0.02749410840534171
MST1,0.02749410840534171
MALL,0.027481250331744634
SH2B2,0.027481250331744634
FZD2,0.027476309791150677
MAP3K1,0.027354633143958612
CCNK,0.027299210412936713
SYCP1,0.02721908497894506
MAPT,0.02711222995353485
DENND2B,0.027101335428122545
PBX2,0.027096394887528595
LCT,0.027042999044955496
HRC,0.027029127527134017
ABCA3,0.02702418698654007
SORBS2,0.026896556354529644
CIITA,0.026896556354529644
CEP131,0.026781783796116305
FBN2,0.026780833692155934
MAP1B,0.02675410410073737
JAG2,0.026740232582915892
ADGRL2,0.02670856245090338
AXIN2,0.026698681369715472
PML,0.026690763836712345
TSC2,0.026672965222521314
LAMA2,0.026590876240344882
INSM1,0.026555215671698797
BMPR2,0.026537417057507763
ABCC5,0.026503783377310478
LMO2,0.026464195712294837
AKAP12,0.02630096785190236
PGR,0.02627227471229902
POLE,0.026142680532103824
LAMC1,0.026090234793491103
